id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,127.0.0.1,00:00:00:00:00:00,00:00:00,41241,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787858320397,1787858325402,5005,4,340,1787858320397,1787858325402,5005,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,41026,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787858320398,1787858325404,5006,2,148,1787858320398,1787858325404,5006,2,148,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
2,0,10.10.2.10,b4:8c:9d:5b:7f:35,b4:8c:9d,48770,10.10.3.20,0c:67:14:e9:bd:9f,0c:67:14,22,6,4,0,0,1787858331645,1787858331647,2,3,334,1787858331645,1787858331647,2,2,200,1787858331646,1787858331646,0,1,134,SSH,RemoteAccess,1,1,,,,,
3,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787858356471,1787858356614,143,34,16270,1787858356471,1787858356614,143,20,3116,1787858356472,1787858356614,142,14,13154,MongoDB,Database,0,6,,,,,
4,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787858356345,1787858356647,302,128,60850,1787858356345,1787858356647,302,66,14468,1787858356345,1787858356607,262,62,46382,MongoDB,Database,0,6,,,,,
5,0,10.10.2.10,b4:8c:9d:5b:7f:35,b4:8c:9d,35422,10.10.3.20,0c:67:14:e9:bd:9f,0c:67:14,22,6,4,0,0,1787858322484,1787858376072,53588,228,35657,1787858322484,1787858376072,53588,119,11804,1787858322484,1787858376071,53587,109,23853,SSH,RemoteAccess,0,6,,7FAF49B853CE29FA6103BA596A35FFB2,E42184B06D45385A906F0803D04C83DA,,
6,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787858477361,1787858477361,0,4,264,1787858477361,1787858477361,0,2,132,1787858477361,1787858477361,0,2,132,MongoDB,Database,1,1,,,,,
7,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787858477360,1787858477360,0,4,264,1787858477360,1787858477360,0,2,132,1787858477360,1787858477360,0,2,132,MongoDB,Database,1,1,,,,,
8,0,172.18.0.10,b4:8c:9d:5b:7f:35,b4:8c:9d,33978,172.18.0.4,0c:67:14:e9:bd:9f,0c:67:14,7777,6,4,0,0,1787858356333,1787858356833,500,262,35220,1787858356333,1787858356833,500,134,19546,1787858356333,1787858356833,500,128,15674,HTTP2,Web,0,6,,,,,
9,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787858600240,1787858723120,122880,12,792,1787858600240,1787858723120,122880,6,396,1787858600240,1787858723120,122880,6,396,MongoDB,Database,1,1,,,,,
