Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.3.20-10.10.4.10-42125-10051-6,10.10.3.20,42125,10.10.4.10,10051,6,28/08/2026 09:39:23 AM,9223,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,19624.850916187792,758.9721348801908,1537.1666666666667,2615.5045720982152,6783.0,1.0,7911.0,3955.5,3998.688847609926,6783.0,1128.0,8170.0,2723.333333333333,4536.278687793921,7960.0,1.0,0,0,0,0,104,136,325.27377209151035,433.69836278868047,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787899163011077.2,4039.3870486952183,1787899163014632.0,1787899163006587.0,No Label
10.10.3.20-10.10.4.10-42125-10051-6,10.10.3.20,42125,10.10.4.10,10051,6,28/08/2026 09:39:23 AM,645,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3100.77519379845,645.0,0.0,645.0,645.0,645.0,645.0,0.0,645.0,645.0,0,0,0,0,0,0,0,0,0,64,0,3100.77519379845,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-51385-10051-6,10.10.3.20,51385,10.10.4.10,10051,6,28/08/2026 09:39:26 AM,3718,3,4,178.0,97.0,178.0,0.0,59.333333333333336,102.76834791575338,97.0,0.0,24.25,48.49999999999999,73964.49704142012,1882.7326519634212,619.6666666666666,561.9479216677171,1330.0,1.0,2521.0,1260.5,98.2878425849301,1330.0,1191.0,2622.0,874.0,1269.2426875897297,2330.0,1.0,0,0,0,0,104,136,806.8854222700377,1075.8472296933835,0.0,178.0,34.375,67.23081245126481,4519.982142857143,1,2,0,2,6,0,0,0,1.0,39.285714285714285,59.333333333333336,24.25,0,0,0,0,0,0,0,25,0,13,64240,508,1,32,0,0,0,0,1787899166011124.2,1210.7230277813337,1787899166012079.0,1787899166009362.0,No Label
10.10.3.20-10.10.4.10-51385-10051-6,10.10.3.20,51385,10.10.4.10,10051,6,28/08/2026 09:39:26 AM,182,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10989.010989010989,182.0,0.0,182.0,182.0,182.0,182.0,0.0,182.0,182.0,0,0,0,0,0,0,0,0,0,64,0,10989.010989010989,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-45401-10051-6,10.10.3.20,45401,10.10.4.10,10051,6,28/08/2026 09:39:28 AM,9737,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,18588.88774776625,718.9072609633357,1622.8333333333335,2947.9410046109588,7556.0,1.0,8588.0,4294.0,4613.1646404610365,7556.0,1032.0,8826.0,2942.0,5093.961425060068,8824.0,1.0,0,0,0,0,104,136,308.10311184142955,410.8041491219061,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787899168010822.0,4342.042837190807,1787899168014572.0,1787899168006104.0,No Label
10.10.3.20-10.10.4.10-45401-10051-6,10.10.3.20,45401,10.10.4.10,10051,6,28/08/2026 09:39:28 AM,2622,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,762.7765064836002,2622.0,0.0,2622.0,2622.0,2622.0,2622.0,0.0,2622.0,2622.0,0,0,0,0,0,0,0,0,0,64,0,762.7765064836002,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-41839-10051-6,10.10.3.20,41839,10.10.4.10,10051,6,28/08/2026 09:39:31 AM,4278,3,4,231.0,98.0,231.0,0.0,77.0,133.36791218280356,98.0,0.0,24.5,49.00000000000001,76905.09583917719,1636.2786348761103,713.0,599.8036345338364,1392.0,1.0,2611.0,1305.5,122.32947314527271,1392.0,1219.0,3151.0,1050.3333333333335,1420.6651024549499,2667.0,1.0,0,0,0,0,104,136,701.2622720897616,935.0163627863489,0.0,231.0,41.125,84.03645042480079,7062.125,1,2,0,2,6,0,0,0,1.0,47.0,77.0,24.5,0,0,0,0,0,0,0,33,0,14,64240,508,1,32,0,0,0,0,1787899171007796.8,1324.814798377494,1787899171008864.0,1787899171005862.0,No Label
10.10.3.20-10.10.4.10-41839-10051-6,10.10.3.20,41839,10.10.4.10,10051,6,28/08/2026 09:39:31 AM,244,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8196.72131147541,244.0,0.0,244.0,244.0,244.0,244.0,0.0,244.0,244.0,0,0,0,0,0,0,0,0,0,64,0,8196.72131147541,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-53683-10051-6,10.10.3.20,53683,10.10.4.10,10051,6,28/08/2026 09:39:33 AM,5599,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,32327.20128594392,1250.2232541525273,933.1666666666666,1314.9882762468517,3425.0,0.0,4561.0,2280.5,1618.5674221360073,3425.0,1136.0,4573.0,1524.3333333333335,2639.356802960398,4572.0,0.0,0,0,0,0,104,136,535.8099660653688,714.4132880871584,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787899173009075.0,2117.957673876731,1787899173010813.0,1787899173006361.0,No Label
10.10.3.20-10.10.4.10-53683-10051-6,10.10.3.20,53683,10.10.4.10,10051,6,28/08/2026 09:39:33 AM,409,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4889.975550122249,409.0,0.0,409.0,409.0,409.0,409.0,0.0,409.0,409.0,0,0,0,0,0,0,0,0,0,64,0,4889.975550122249,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
