id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1635,0,127.0.0.1,00:00:00:00:00:00,00:00:00,58830,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787776963820,1787776968826,5006,4,340,1787776963820,1787776968826,5006,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1636,0,172.18.0.10,b4:8c:9d:5b:7f:35,b4:8c:9d,60862,172.18.0.11,0c:67:14:e9:bd:9f,0c:67:14,7777,6,4,0,0,1787777606681,1787777606684,3,6,396,1787777606681,1787777606684,3,4,264,1787777606684,1787777606684,0,2,132,Unknown,Unspecified,0,0,,,,,
1637,0,127.0.0.1,00:00:00:00:00:00,00:00:00,36161,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777824659,1787777829664,5005,4,340,1787777824659,1787777829664,5005,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1638,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,46681,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777556005,1787777556015,10,10,857,1787777556005,1787777556014,9,5,476,1787777556006,1787777556015,9,5,381,Zabbix,Network,0,6,,,,,
1639,0,172.18.0.10,b4:8c:9d:5b:7f:35,b4:8c:9d,44430,172.18.0.4,0c:67:14:e9:bd:9f,0c:67:14,7777,6,4,0,0,1787777606704,1787777607090,386,108,13620,1787777606704,1787777607090,386,56,7620,1787777606704,1787777607048,344,52,6000,HTTP2,Web,0,6,,,,,
1640,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,55578,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787776963822,1787776968826,5004,2,172,1787776963822,1787776968826,5004,2,172,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1641,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,32925,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777614464,1787777614464,0,1,74,1787777614464,1787777614464,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1642,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,47989,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777841005,1787777841014,9,10,1914,1787777841005,1787777841012,7,5,1478,1787777841006,1787777841014,8,5,436,Zabbix,Network,0,6,,,,,
1643,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,35131,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777561005,1787777561013,8,10,857,1787777561005,1787777561013,8,5,476,1787777561007,1787777561013,6,5,381,Zabbix,Network,0,6,,,,,
1644,0,172.18.0.15,b4:8c:9d:5b:7f:35,b4:8c:9d,4997,172.18.0.16,0c:67:14:e9:bd:9f,0c:67:14,50094,17,4,0,0,1787777579654,1787778249722,670068,2904,196890,1787777579654,1787778249722,670068,1590,108852,1787777580055,1787778249549,669494,1314,88038,Unknown,Unspecified,0,0,,,,,
1645,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,48517,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787776976005,1787776976010,5,10,979,1787776976005,1787776976009,4,5,543,1787776976006,1787776976010,4,5,436,Zabbix,Network,0,6,,,,,
1646,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,50964,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777614464,1787777614464,0,1,86,1787777614464,1787777614464,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1647,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,41057,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777844682,1787777844682,0,1,74,1787777844682,1787777844682,0,1,74,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1648,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,59363,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777574422,1787777579425,5003,2,148,1787777574422,1787777579425,5003,2,148,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
