Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.3.20-10.10.4.10-45637-10051-6,10.10.3.20,45637,10.10.4.10,10051,6,28/08/2026 01:29:21 AM,4026,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,44957.77446597119,1738.6984600099354,671.0,723.7720635669768,1799.0,1.0,2832.0,1416.0,541.6437943888955,1799.0,1033.0,3055.0,1018.3333333333333,1647.3886406471706,2919.0,1.0,0,0,0,0,104,136,745.1564828614008,993.5419771485346,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787869761008331.5,1327.7912737575386,1787869761009326.0,1787869761006421.0,No Label
10.10.3.20-10.10.4.10-45637-10051-6,10.10.3.20,45637,10.10.4.10,10051,6,28/08/2026 01:29:21 AM,243,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8230.45267489712,243.0,0.0,243.0,243.0,243.0,243.0,0.0,243.0,243.0,0,0,0,0,0,0,0,0,0,64,0,8230.45267489712,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-39455-10051-6,10.10.3.20,39455,10.10.4.10,10051,6,28/08/2026 01:29:21 AM,4345,3,4,1142.0,98.0,1142.0,0.0,380.6666666666667,659.3340074145526,98.0,0.0,24.5,49.00000000000001,285385.500575374,1611.0471806674338,724.1666666666666,552.5596498719995,1194.0,1.0,2214.0,1107.0,76.36753236814714,1161.0,1053.0,3222.0,1074.0,1148.2364739024797,2285.0,1.0,0,0,0,0,104,136,690.4487917146145,920.5983889528194,0.0,1142.0,155.0,400.2799020685401,160224.00000000003,1,2,0,2,6,0,0,0,1.0,177.14285714285714,380.6666666666667,24.5,0,0,0,0,0,0,0,163,0,14,64240,501,1,32,0,0,0,0,1787869761008771.8,1330.3138414173802,1787869761009992.0,1787869761006880.0,No Label
10.10.3.20-10.10.4.10-39455-10051-6,10.10.3.20,39455,10.10.4.10,10051,6,28/08/2026 01:29:21 AM,434,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4608.294930875576,434.0,0.0,434.0,434.0,434.0,434.0,0.0,434.0,434.0,0,0,0,0,0,0,0,0,0,64,0,4608.294930875576,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-51173-10051-6,10.10.3.20,51173,10.10.4.10,10051,6,28/08/2026 01:29:26 AM,7395,3,4,178.0,97.0,178.0,0.0,59.333333333333336,102.76834791575338,97.0,0.0,24.25,48.49999999999999,37187.288708586886,946.5855307640298,1232.5,1598.8416744631097,4295.0,1.0,5773.0,2886.5,1991.9198026025044,4295.0,1478.0,6013.0,2004.3333333333335,3062.7739605353404,5530.0,1.0,0,0,0,0,104,136,405.6795131845842,540.9060175794456,0.0,178.0,34.375,67.23081245126481,4519.982142857143,1,2,0,2,6,0,0,0,1.0,39.285714285714285,59.333333333333336,24.25,0,0,0,0,0,0,0,25,0,13,64240,508,1,32,0,0,0,0,1787869766009936.2,2863.101992740275,1787869766012530.0,1787869766006371.0,No Label
10.10.3.20-10.10.4.10-51173-10051-6,10.10.3.20,51173,10.10.4.10,10051,6,28/08/2026 01:29:26 AM,662,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3021.1480362537764,662.0,0.0,662.0,662.0,662.0,662.0,0.0,662.0,662.0,0,0,0,0,0,0,0,0,0,64,0,3021.1480362537764,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-52575-10051-6,10.10.3.20,52575,10.10.4.10,10051,6,28/08/2026 01:29:26 AM,9494,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,19064.672424689277,737.3077733305245,1582.3333333333333,2396.2080599703077,6342.0,1.0,7850.0,3925.0,3418.154180255771,6342.0,1508.0,8054.0,2684.666666666667,4125.460257151114,7435.0,1.0,0,0,0,0,104,136,315.9890457130819,421.31872761744256,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787869766010927.8,4076.240537145308,1787869766014683.0,1787869766006283.0,No Label
10.10.3.20-10.10.4.10-52575-10051-6,10.10.3.20,52575,10.10.4.10,10051,6,28/08/2026 01:29:26 AM,114,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17543.859649122805,114.0,0.0,114.0,114.0,114.0,114.0,0.0,114.0,114.0,0,0,0,0,0,0,0,0,0,64,0,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-36587-10051-6,10.10.3.20,36587,10.10.4.10,10051,6,28/08/2026 01:29:31 AM,5907,3,4,231.0,98.0,231.0,0.0,77.0,133.36791218280356,98.0,0.0,24.5,49.00000000000001,55696.63111562553,1185.0347045877772,984.5,1114.8755535933146,2913.0,1.0,4574.0,2287.0,885.2976900455575,2913.0,1661.0,4338.0,1446.0,2199.247825962322,3977.0,1.0,0,0,0,0,104,136,507.87201625190454,677.1626883358728,0.0,231.0,41.125,84.03645042480079,7062.125,1,2,0,2,6,0,0,0,1.0,47.0,77.0,24.5,0,0,0,0,0,0,0,33,0,14,64240,508,1,32,0,0,0,0,1787869771008815.2,2200.231034270417,1787869771010714.0,1787869771005872.0,No Label
10.10.3.20-10.10.4.10-36587-10051-6,10.10.3.20,36587,10.10.4.10,10051,6,28/08/2026 01:29:31 AM,194,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10309.278350515464,194.0,0.0,194.0,194.0,194.0,194.0,0.0,194.0,194.0,0,0,0,0,0,0,0,0,0,64,0,10309.278350515464,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
