Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.3.20-10.10.4.10-52211-10051-6,10.10.3.20,52211,10.10.4.10,10051,6,27/08/2026 10:18:41 PM,4077,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,44395.38876624969,1716.9487368162866,679.5,723.8957797915388,1596.0,1.0,2997.0,1498.5,137.88582233137677,1596.0,1401.0,2785.0,928.3333333333333,1606.1884488855387,2783.0,1.0,0,0,0,0,104,136,735.8351729212657,981.1135638950209,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787858321012472.5,1358.1673927269298,1787858321013352.0,1787858321010463.0,No Label
10.10.3.20-10.10.4.10-52211-10051-6,10.10.3.20,52211,10.10.4.10,10051,6,27/08/2026 10:18:41 PM,960,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2083.3333333333335,960.0,0.0,960.0,960.0,960.0,960.0,0.0,960.0,960.0,0,0,0,0,0,0,0,0,0,64,0,2083.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-49853-10051-6,10.10.3.20,49853,10.10.4.10,10051,6,27/08/2026 10:18:41 PM,6879,3,4,303.0,98.0,303.0,0.0,101.0,174.9371315644566,98.0,0.0,24.5,49.00000000000001,58293.35659252798,1017.5897659543539,1146.5,1311.3404973537574,3497.0,1.0,4827.0,2413.5,1532.3003948312485,3497.0,1330.0,5633.0,1877.6666666666665,2844.931164955197,5151.0,1.0,0,0,0,0,104,136,436.1098996947231,581.4798662596307,0.0,303.0,50.125,107.77812857903963,11616.125,1,2,0,2,6,0,0,0,1.0,57.285714285714285,101.0,24.5,0,0,0,0,0,0,0,43,0,14,64240,507,1,32,0,0,0,0,1787858321013656.8,2353.0088140860557,1787858321015706.0,1787858321010482.0,No Label
10.10.3.20-10.10.4.10-49853-10051-6,10.10.3.20,49853,10.10.4.10,10051,6,27/08/2026 10:18:41 PM,192,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10416.666666666666,192.0,0.0,192.0,192.0,192.0,192.0,0.0,192.0,192.0,0,0,0,0,0,0,0,0,0,64,0,10416.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-52803-10051-6,10.10.3.20,52803,10.10.4.10,10051,6,27/08/2026 10:18:46 PM,3539,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,51144.391070923986,1977.9598756710934,589.8333333333334,606.5391715847104,1211.0,0.0,2385.0,1192.5,26.16295090390226,1211.0,1174.0,2482.0,827.3333333333333,1432.1174300082146,2481.0,0.0,0,0,0,0,104,136,847.6970895733258,1130.2627860977677,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787858326007875.2,1105.8434657913087,1787858326008486.0,1787858326006218.0,No Label
10.10.3.20-10.10.4.10-52803-10051-6,10.10.3.20,52803,10.10.4.10,10051,6,27/08/2026 10:18:46 PM,155,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12903.225806451614,155.0,0.0,155.0,155.0,155.0,155.0,0.0,155.0,155.0,0,0,0,0,0,0,0,0,0,64,0,12903.225806451614,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-49757-10051-6,10.10.3.20,49757,10.10.4.10,10051,6,27/08/2026 10:18:46 PM,3848,3,4,313.0,98.0,313.0,0.0,104.33333333333333,180.71063425635288,98.0,0.0,24.5,49.00000000000001,106808.73180873181,1819.126819126819,641.3333333333333,555.491374070441,1240.0,1.0,2244.0,1122.0,43.840620433565945,1153.0,1091.0,2846.0,948.6666666666667,1340.1844400429866,2482.0,1.0,0,0,0,0,104,136,779.6257796257796,1039.5010395010395,0.0,313.0,51.375,111.13561535349503,12351.125,1,2,0,2,6,0,0,0,1.0,58.714285714285715,104.33333333333333,24.5,0,0,0,0,0,0,0,44,0,14,64240,507,1,32,0,0,0,0,1787858326007949.5,1152.7756358748509,1787858326008761.0,1787858326006243.0,No Label
10.10.3.20-10.10.4.10-49757-10051-6,10.10.3.20,49757,10.10.4.10,10051,6,27/08/2026 10:18:46 PM,478,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4184.100418410042,478.0,0.0,478.0,478.0,478.0,478.0,0.0,478.0,478.0,0,0,0,0,0,0,0,0,0,64,0,4184.100418410042,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-36153-10051-6,10.10.3.20,36153,10.10.4.10,10051,6,27/08/2026 10:18:51 PM,2992,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,60494.65240641712,2339.572192513369,498.6666666666667,412.96472811448035,1067.0,1.0,1725.0,862.5,449.01280605345767,1180.0,545.0,1925.0,641.6666666666667,779.1337069677664,1509.0,1.0,0,0,0,0,104,136,1002.6737967914439,1336.8983957219252,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787858331007754.0,935.4446358105148,1787858331008420.0,1787858331006393.0,No Label
10.10.3.20-10.10.4.10-36153-10051-6,10.10.3.20,36153,10.10.4.10,10051,6,27/08/2026 10:18:51 PM,1197,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1670.843776106934,1197.0,0.0,1197.0,1197.0,1197.0,1197.0,0.0,1197.0,1197.0,0,0,0,0,0,0,0,0,0,64,0,1670.843776106934,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
