id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,127.0.0.1,00:00:00:00:00:00,00:00:00,42160,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787862119040,1787862119040,0,2,194,1787862119040,1787862119040,0,2,194,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1,0,10.10.2.10,b4:8c:9d:5b:7f:35,b4:8c:9d,46824,10.10.3.20,0c:67:14:e9:bd:9f,0c:67:14,22,6,4,0,0,1787862147315,1787862147700,385,8,728,1787862147315,1787862147700,385,4,352,1787862147356,1787862147699,343,4,376,SSH,RemoteAccess,1,1,,,,,
2,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787862143280,1787862266160,122880,12,792,1787862143280,1787862266160,122880,6,396,1787862143280,1787862266160,122880,6,396,MongoDB,Database,1,1,,,,,
3,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787862143280,1787862266160,122880,12,792,1787862143280,1787862266160,122880,6,396,1787862143280,1787862266160,122880,6,396,MongoDB,Database,1,1,,,,,
4,0,172.18.0.8,b4:8c:9d:5b:7f:35,b4:8c:9d,33074,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787862389040,1787862389040,0,4,264,1787862389040,1787862389040,0,2,132,1787862389040,1787862389040,0,2,132,MongoDB,Database,1,1,,,,,
5,0,172.18.0.4,b4:8c:9d:5b:7f:35,b4:8c:9d,40994,172.18.0.2,0c:67:14:e9:bd:9f,0c:67:14,27017,6,4,0,0,1787862389040,1787862389040,0,4,264,1787862389040,1787862389040,0,2,132,1787862389040,1787862389040,0,2,132,MongoDB,Database,1,1,,,,,
6,0,172.18.0.2,b4:8c:9d:5b:7f:35,b4:8c:9d,27017,172.18.0.8,0c:67:14:e9:bd:9f,0c:67:14,33074,6,4,0,0,1787862511920,1787862511920,0,8,528,1787862511920,1787862511920,0,4,264,1787862511920,1787862511920,0,4,264,MongoDB,Database,1,1,,,,,
7,0,172.18.0.2,b4:8c:9d:5b:7f:35,b4:8c:9d,27017,172.18.0.4,0c:67:14:e9:bd:9f,0c:67:14,40994,6,4,0,0,1787862511920,1787862511920,0,8,528,1787862511920,1787862511920,0,4,264,1787862511920,1787862511920,0,4,264,MongoDB,Database,1,1,,,,,
8,0,127.0.0.1,00:00:00:00:00:00,00:00:00,58142,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787862414327,1787862419332,5005,4,388,1787862414327,1787862419332,5005,4,388,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
9,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,43523,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787862416007,1787862416015,8,10,977,1787862416007,1787862416014,7,5,541,1787862416009,1787862416015,6,5,436,Zabbix,Network,0,6,,,,,
