Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.3.20-10.10.4.10-39057-10051-6,10.10.3.20,39057,10.10.4.10,10051,6,26/08/2026 11:23:01 PM,4271,3,4,228.0,98.0,228.0,0.0,76.0,131.63586137523467,98.0,0.0,24.5,49.00000000000001,76328.7286349801,1638.9604308124563,711.8333333333333,594.056366573633,1488.0,2.0,2704.0,1352.0,192.33304448274092,1488.0,1216.0,3152.0,1050.6666666666665,1366.461610632854,2596.0,2.0,0,0,0,0,104,136,702.4116132053384,936.5488176071178,0.0,228.0,40.75,83.06924822098729,6900.500000000001,1,2,0,2,6,0,0,0,1.0,46.57142857142857,76.0,24.5,0,0,0,0,0,0,0,32,0,14,64240,508,1,32,0,0,0,0,1787775781008538.2,1368.0700441985173,1787775781009749.0,1787775781006588.0,No Label
10.10.3.20-10.10.4.10-39057-10051-6,10.10.3.20,39057,10.10.4.10,10051,6,26/08/2026 11:23:01 PM,206,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9708.73786407767,206.0,0.0,206.0,206.0,206.0,206.0,0.0,206.0,206.0,0,0,0,0,0,0,0,0,0,64,0,9708.73786407767,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-59527-10051-6,10.10.3.20,59527,10.10.4.10,10051,6,26/08/2026 11:23:01 PM,4675,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,38716.57754010695,1497.326203208556,779.1666666666666,993.7847687837979,2536.0,0.0,3695.0,1847.5,973.686037693876,2536.0,1159.0,3585.0,1195.0,2068.0689060086947,3583.0,0.0,0,0,0,0,104,136,641.711229946524,855.614973262032,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787775781008900.2,1701.6418297240657,1787775781010215.0,1787775781006587.0,No Label
10.10.3.20-10.10.4.10-59527-10051-6,10.10.3.20,59527,10.10.4.10,10051,6,26/08/2026 11:23:01 PM,131,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15267.175572519083,131.0,0.0,131.0,131.0,131.0,131.0,0.0,131.0,131.0,0,0,0,0,0,0,0,0,0,64,0,15267.175572519083,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-33709-10051-6,10.10.3.20,33709,10.10.4.10,10051,6,26/08/2026 11:23:06 PM,7087,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,25539.720615210947,987.7240016932411,1181.1666666666667,1786.9929397360995,4635.0,0.0,5936.0,2968.0,2357.4940084759496,4635.0,1301.0,5851.0,1950.3333333333335,3377.210436637512,5850.0,0.0,0,0,0,0,104,136,423.31028643996046,564.4137152532807,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787775786009325.0,2853.8768222659273,1787775786011681.0,1787775786005809.0,No Label
10.10.3.20-10.10.4.10-33709-10051-6,10.10.3.20,33709,10.10.4.10,10051,6,26/08/2026 11:23:06 PM,239,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8368.200836820084,239.0,0.0,239.0,239.0,239.0,239.0,0.0,239.0,239.0,0,0,0,0,0,0,0,0,0,64,0,8368.200836820084,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-51347-10051-6,10.10.3.20,51347,10.10.4.10,10051,6,26/08/2026 11:23:06 PM,10948,3,4,201.0,98.0,201.0,0.0,67.0,116.04740410711477,98.0,0.0,24.5,49.00000000000001,27310.9243697479,639.386189258312,1824.6666666666667,3197.619468708975,8294.0,1.0,9508.0,4754.0,5006.316010800757,8294.0,1214.0,9860.0,3286.666666666667,5242.85383482444,9333.0,1.0,0,0,0,0,104,136,274.0226525392766,365.36353671903544,0.0,201.0,37.375,74.47902389263704,5547.125,1,2,0,2,6,0,0,0,1.0,42.714285714285715,67.0,24.5,0,0,0,0,0,0,0,28,0,14,64240,508,1,32,0,0,0,0,1787775786011310.2,5028.480902568886,1787775786015927.0,1787775786006019.0,No Label
10.10.3.20-10.10.4.10-51347-10051-6,10.10.3.20,51347,10.10.4.10,10051,6,26/08/2026 11:23:06 PM,1077,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1857.0102135561744,1077.0,0.0,1077.0,1077.0,1077.0,1077.0,0.0,1077.0,1077.0,0,0,0,0,0,0,0,0,0,64,0,1857.0102135561744,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,32,0,0,0,0,0,0,0,0,No Label
10.10.3.20-10.10.4.10-59803-10051-6,10.10.3.20,59803,10.10.4.10,10051,6,26/08/2026 11:23:06 PM,6092,3,3,111.0,0.0,111.0,0.0,37.0,64.08587988004847,0.0,0.0,0.0,0.0,18220.617202889036,984.898227183191,1218.4,1510.6622057892362,3777.0,48.0,4849.0,2424.5,1912.7238431096112,3777.0,1072.0,5068.0,2534.0,3384.2130547588163,4927.0,141.0,0,0,0,0,104,104,492.4491135915955,492.4491135915955,0.0,111.0,15.857142857142858,41.95405650402422,1760.142857142857,1,2,0,1,5,0,0,0,1.0,18.5,37.0,0.0,0,0,0,0,0,0,0,18,0,0,64240,509,1,32,0,0,0,0,1787775786015609.0,2380.896679824641,1787775786018069.0,1787775786013316.0,No Label
10.10.3.20-10.10.4.10-39113-10051-6,10.10.3.20,39113,10.10.4.10,10051,6,26/08/2026 11:23:11 PM,3518,3,4,138.0,43.0,138.0,0.0,46.0,79.67433714816836,43.0,0.0,10.75,21.5,51449.687322342244,1989.7669130187608,586.3333333333333,545.4640837549863,1400.0,1.0,2208.0,1104.0,507.70266889194113,1463.0,745.0,2118.0,706.0,928.476709454793,1758.0,1.0,0,0,0,0,104,136,852.7572484366117,1137.009664582149,0.0,138.0,22.625,48.98669644476374,2399.6964285714284,1,2,0,2,6,0,0,0,1.0,25.857142857142858,46.0,10.75,0,0,0,0,0,0,0,19,0,6,64240,508,1,32,0,0,0,0,1787775791007788.0,1169.1006871380525,1787775791008558.0,1787775791006054.0,No Label
